concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
915632,4132855,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41944163,41929441,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42070793,42057014,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41987215,41987173,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3038488,37078456,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3044472,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42047963,42034077,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41921748,41915451,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41924737,41916611,Is a,01/01/1970,31/12/2099,,concept_relationship,0
46234875,45876186,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3965874,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41910190,41900752,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42061649,42056082,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42030183,42027395,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42007140,41999748,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41998491,41987335,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37034022,40772930,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36304327,1002772,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42046174,42035303,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41915455,41913574,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41902720,41897374,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3026499,45876012,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3018745,45876151,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40766859,45875977,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3042722,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41906414,41895203,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37033316,40786103,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40764064,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42026301,42018715,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41904318,41898161,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42032913,42021809,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41954470,41929878,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40759684,37078488,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41986068,41976795,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3025639,45876009,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42044502,42033801,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3022483,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3007698,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40789151,40776224,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41977938,41971081,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37024788,37069277,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42019852,42018995,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41964014,41929326,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41893945,41892279,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42043259,42034120,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40758513,37046774,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42064385,42056257,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3020571,37043476,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42047809,42033790,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40764116,37042939,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37020949,37068489,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3019561,37065878,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41946546,41929943,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41989934,41977248,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40768802,37028156,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3024633,45876205,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42046685,42033801,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41954114,41930863,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41920297,41915700,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37040298,40779342,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41942309,41929528,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41978169,41971717,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41883034,41881548,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41938332,41929966,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42078451,42054507,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36032253,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1988919,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1003154,1028197,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41946736,41929528,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37051961,40782763,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40776055,40772543,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42050038,42033844,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40767318,45875977,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3965288,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37047004,37036145,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3020146,37053495,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3039625,37026063,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42051303,42034403,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3043232,37036687,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41968499,41934057,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3038623,45876022,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42000814,41987345,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41970866,41970185,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3006279,37077417,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37035695,40796048,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1176401,1002726,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3966433,45876033,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37062629,40776224,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41926591,41922094,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42011838,42007381,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41936344,41930093,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21491213,45876002,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3021716,45876006,Is a,01/01/1970,31/12/2099,,concept_relationship,0
2107801,45888693,Is a,01/01/1970,31/12/2099,,concept_relationship,0
43533435,45876057,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41938186,41930309,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42058733,42054931,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3043048,45876077,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3966740,3967625,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41892955,41892481,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3025082,45875995,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41887025,41881572,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42028226,42018931,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37041268,37023216,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42035764,42034055,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37076844,37047419,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3007396,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37074281,40795722,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1989324,45876058,Is a,01/01/1970,31/12/2099,,concept_relationship,0
