drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
40832277,42899006,,9325,,,,,,01/10/2012,31/12/2099,,drug_strength,0
41205567,43012403,,8576,,,,,,07/01/2013,31/12/2099,,drug_strength,0
40925001,42899921,,8576,,,,,,01/10/2012,31/12/2099,,drug_strength,0
40744829,1593031,,8576,,,,,,07/08/2017,31/12/2099,,drug_strength,0
21031521,1560524,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40141452,1308738,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44107601,1036525,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36853453,36853453,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40153277,19043959,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41080380,42898751,,8576,,,,,,01/10/2012,31/12/2099,,drug_strength,0
36421642,19136048,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1511345,1511345,,8576,,,,,,06/05/2019,31/12/2099,,drug_strength,0
44109224,19079204,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
21066765,961145,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41176092,1311799,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43205875,1551860,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35851117,948078,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44094469,1361711,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44120846,19014220,,8510,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42615197,918172,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44094826,42898864,,9325,,,,,,01/10/2012,31/12/2099,,drug_strength,0
40057654,996541,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41018634,785788,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43191599,1331247,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42960277,43009008,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40080505,19069022,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
21149455,1134439,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42950353,1311409,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36785253,1548195,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44031677,19111620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42656044,35200416,,8510,,,,,,03/12/2018,31/12/2099,,drug_strength,0
41206077,36879061,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41050580,19087317,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40926054,1310317,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44096447,19086712,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35142081,35198172,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43031669,907879,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43271082,42899945,,8576,,,,,,01/10/2012,31/12/2099,,drug_strength,0
42924351,19123342,,8510,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44109279,19096766,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41019557,19111620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43179498,922191,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44122278,19030059,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40754113,19050346,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41018293,739138,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40989296,19137312,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40243274,19035577,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43150791,701322,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43168361,19069022,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43691625,1521369,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41208317,1738521,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42935658,1363053,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44121878,1398399,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35146156,19002230,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40065602,19067971,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44094981,19066865,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42961454,43009037,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42614929,19124906,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35129476,35198153,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44183267,40798760,,8576,,,,,,18/07/2017,31/12/2099,,drug_strength,0
41269306,40798801,,8576,,,,,,18/07/2017,31/12/2099,,drug_strength,0
41298454,43013715,,8576,,,,,,04/03/2013,31/12/2099,,drug_strength,0
44056419,19135846,,9325,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40925671,42904260,,8576,,,,,,03/12/2012,31/12/2099,,drug_strength,0
40895907,1112807,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44057742,42898757,,8576,,,,,,01/10/2012,31/12/2099,,drug_strength,0
41267653,901656,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40150568,1201620,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35851383,923081,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40233592,909440,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41205933,962398,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43761967,956874,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36859723,36859723,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41113526,915981,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
35850220,957623,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43599655,19031397,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42947794,1195334,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40986838,19123246,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
36788072,45774639,,8576,,,,,,01/12/2014,31/12/2099,,drug_strength,0
35831336,1308738,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44070589,19049909,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44082216,704984,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42800238,42800238,,8576,,,,,,04/06/2012,31/12/2099,,drug_strength,0
