concept_id,concept_synonym_name,language_concept_id,load_table_id,load_row_id
42000474,岩沼市,4181524,concept_synonym,0
42001989,島原市,4181524,concept_synonym,0
42000769,川内村,4181524,concept_synonym,0
42000723,川場村,4181524,concept_synonym,0
42000281,市川町,4181524,concept_synonym,0
41999437,幌泉郡,4181524,concept_synonym,0
42007568,平和町,4181524,concept_synonym,0
42001891,幸手市,4181524,concept_synonym,0
42000239,広尾町,4181524,concept_synonym,0
41999435,広尾郡,4181524,concept_synonym,0
42007159,忠岡町,4181524,concept_synonym,0
42007012,恵那市,4181524,concept_synonym,0
42006863,愛媛県,4181524,concept_synonym,0
42001381,成田市,4181524,concept_synonym,0
42007463,戸塚区,4181524,concept_synonym,0
42007457,手稲区,4181524,concept_synonym,0
42001940,斜里町,4181524,concept_synonym,0
42002043,新宿区,4181524,concept_synonym,0
42002054,新得町,4181524,concept_synonym,0
42007953,新田町,4181524,concept_synonym,0
42002025,新郷村,4181524,concept_synonym,0
42001424,日光市,4181524,concept_synonym,0
42000216,日野市,4181524,concept_synonym,0
42000139,早島町,4181524,concept_synonym,0
41999839,旭川市,4181524,concept_synonym,0
42007817,明永町,4181524,concept_synonym,0
42000701,春日市,4181524,concept_synonym,0
42007705,春日町,4181524,concept_synonym,0
42001880,更別村,4181524,concept_synonym,0
42001214,最上町,4181524,concept_synonym,0
41999652,最上郡,4181524,concept_synonym,0
41999347,朝倉郡,4181524,concept_synonym,0
41999934,朝日町,4181524,concept_synonym,0
42007498,朝日町,4181524,concept_synonym,0
41999933,朝来市,4181524,concept_synonym,0
42007105,本宮市,4181524,concept_synonym,0
42006914,本巣郡,4181524,concept_synonym,0
42007111,村上市,4181524,concept_synonym,0
42007580,東浜町,4181524,concept_synonym,0
42000194,東浦町,4181524,concept_synonym,0
42000166,東通村,4181524,concept_synonym,0
42001048,松川町,4181524,concept_synonym,0
42001055,松浦市,4181524,concept_synonym,0
42007567,林田町,4181524,concept_synonym,0
42000226,枚方市,4181524,concept_synonym,0
42001395,根室市,4181524,concept_synonym,0
42004720,横津町,4181524,concept_synonym,0
42007525,檀紙町,4181524,concept_synonym,0
41999436,檜山郡,4181524,concept_synonym,0
42007832,永田台,4181524,concept_synonym,0
42000879,江東区,4181524,concept_synonym,0
42000330,池田町,4181524,concept_synonym,0
42001560,沖縄市,4181524,concept_synonym,0
42002256,津南町,4181524,concept_synonym,0
42008022,津森町,4181524,concept_synonym,0
42002262,津野町,4181524,concept_synonym,0
42001278,流山市,4181524,concept_synonym,0
42007473,浦和区,4181524,concept_synonym,0
42002298,浦臼町,4181524,concept_synonym,0
42001346,浪江町,4181524,concept_synonym,0
42007414,浪速区,4181524,concept_synonym,0
41999487,海草郡,4181524,concept_synonym,0
42006942,瀬棚郡,4181524,concept_synonym,0
42000935,熊野町,4181524,concept_synonym,0
42002520,熱田区,4181524,concept_synonym,0
42000392,犬山市,4181524,concept_synonym,0
42001895,狭山市,4181524,concept_synonym,0
42000085,玄海町,4181524,concept_synonym,0
42000880,琴平町,4181524,concept_synonym,0
42000351,生坂村,4181524,concept_synonym,0
42007163,田上町,4181524,concept_synonym,0
41999754,田川郡,4181524,concept_synonym,0
42002060,白浜町,4181524,concept_synonym,0
42007968,白百合,4181524,concept_synonym,0
42007445,白石区,4181524,concept_synonym,0
